primary_topic,total_reviews,positive_reviews,neutral_reviews,negative_reviews,positive_rate,neutral_rate,negative_rate,negative_impact
Other,12594,4361,5992,2241,34.62760044465619,47.57821184691123,17.794187708432588,5.249964859672961
Delivery Delay,3810,726,1872,1212,19.055118110236222,49.13385826771653,31.811023622047248,2.839338424776273
Product Condition/Damage,1229,227,117,885,18.470301057770545,9.51993490642799,72.00976403580145,2.0732792953193084
Return/Refund,1015,329,227,459,32.41379310344827,22.364532019704434,45.22167487684729,1.0752940074028956
Product Quality,2475,1810,239,426,73.13131313131314,9.656565656565656,17.21212121212121,0.9979852879164129
Positive Experience,14973,14553,70,350,97.19495091164096,0.46750818139317435,2.337540906965872,0.819940964250574
Product Description,683,214,178,291,31.332357247437777,26.061493411420205,42.60614934114202,0.68172234456262
Shipping/Logistics,664,158,259,247,23.795180722891565,39.006024096385545,37.1987951807229,0.5786440519139765
Packaging,646,476,65,105,73.68421052631578,10.061919504643962,16.253869969040245,0.24598228927517218
Size/Fit,261,118,50,93,45.21072796934866,19.157088122605366,35.63218390804598,0.21787002764372393
Price/Value,771,599,83,89,77.69130998702984,10.765239948119326,11.543450064850843,0.2084992737665745
Delivery Speed,2968,2156,727,85,72.64150943396226,24.494609164420485,2.8638814016172507,0.19912851988942512
Product Functionality,253,91,79,83,35.96837944664031,31.225296442687743,32.80632411067194,0.1944431429508504
Seller Service,298,181,47,70,60.738255033557046,15.771812080536913,23.48993288590604,0.1639881928501148
Customer Service,46,22,3,21,47.82608695652174,6.521739130434782,45.65217391304348,0.04919645785503444
