primary_topic,Negative,Neutral,Positive
Customer Service,45.65217391304348,6.521739130434782,47.82608695652174
Delivery Delay,31.811023622047248,49.13385826771653,19.055118110236222
Delivery Speed,2.8638814016172507,24.494609164420485,72.64150943396226
Other,17.794187708432588,47.57821184691123,34.62760044465619
Packaging,16.253869969040245,10.061919504643962,73.68421052631578
Positive Experience,2.337540906965872,0.46750818139317435,97.19495091164096
Price/Value,11.543450064850843,10.765239948119326,77.69130998702984
Product Condition/Damage,72.00976403580145,9.51993490642799,18.470301057770545
Product Description,42.60614934114202,26.061493411420205,31.332357247437777
Product Functionality,32.80632411067194,31.225296442687743,35.96837944664031
Product Quality,17.21212121212121,9.656565656565656,73.13131313131314
Return/Refund,45.22167487684729,22.364532019704434,32.41379310344827
Seller Service,23.48993288590604,15.771812080536913,60.738255033557046
Shipping/Logistics,37.1987951807229,39.006024096385545,23.795180722891565
Size/Fit,35.63218390804598,19.157088122605366,45.21072796934866
