product_category,total_orders,quality_issues,quality_issue_rate
agro_industry_and_commerce,182,2,1.098901098901099
air_conditioning,253,6,2.371541501976284
art,202,7,3.4653465346534658
arts_and_craftmanship,23,0,0.0
audio,350,10,2.857142857142857
auto,3897,113,2.89966641005902
baby,2885,76,2.634315424610052
bed_bath_table,9417,490,5.203355633428905
books_general_interest,512,2,0.390625
books_imported,53,0,0.0
books_technical,260,0,0.0
cds_dvds_musicals,12,0,0.0
christmas_supplies,128,7,5.46875
cine_photo,65,0,0.0
computers,181,4,2.209944751381215
computers_accessories,6689,147,2.1976379129914783
consoles_games,1062,24,2.2598870056497176
construction_tools_construction,748,22,2.941176470588235
construction_tools_lights,244,9,3.6885245901639343
construction_tools_safety,167,1,0.5988023952095809
cool_stuff,3632,99,2.7257709251101323
costruction_tools_garden,194,8,4.123711340206185
costruction_tools_tools,97,2,2.0618556701030926
diapers_and_hygiene,27,1,3.7037037037037033
drinks,297,2,0.6734006734006733
dvds_blu_ray,59,0,0.0
electronics,2550,60,2.3529411764705883
fashio_female_clothing,39,2,5.128205128205128
fashion_bags_accessories,1864,72,3.862660944206009
fashion_childrens_clothes,8,0,0.0
fashion_male_clothing,112,4,3.571428571428571
fashion_shoes,240,8,3.3333333333333335
fashion_sport,27,0,0.0
fashion_underwear_beach,121,4,3.3057851239669422
fixed_telephony,217,5,2.3041474654377883
flowers,29,0,0.0
food,450,5,1.1111111111111112
food_drink,227,5,2.2026431718061676
furniture_bedroom,95,8,8.421052631578947
furniture_decor,6449,219,3.3958753295084505
furniture_living_room,422,12,2.843601895734597
furniture_mattress_and_upholstery,38,2,5.263157894736842
garden_tools,3518,99,2.8140989198408186
health_beauty,8836,145,1.641014033499321
home_appliances,764,19,2.486910994764398
home_appliances_2,234,2,0.8547008547008548
home_comfort_2,24,1,4.166666666666666
home_confort,397,11,2.770780856423174
home_construction,490,14,2.857142857142857
housewares,5884,180,3.059143439836846
industry_commerce_and_business,235,6,2.553191489361702
kitchen_dining_laundry_garden_furniture,248,3,1.2096774193548387
la_cuisine,13,0,0.0
luggage_accessories,1034,50,4.835589941972921
market_place,280,5,1.7857142857142856
music,38,1,2.631578947368421
musical_instruments,628,21,3.343949044585987
office_furniture,1273,57,4.477611940298507
party_supplies,39,0,0.0
perfumery,3162,36,1.1385199240986716
pet_shop,1710,52,3.0409356725146197
security_and_services,2,0,0.0
signaling_and_security,140,2,1.4285714285714286
small_appliances,630,9,1.4285714285714286
small_appliances_home_oven_and_coffee,75,4,5.333333333333334
sports_leisure,7720,171,2.215025906735751
stationery,2311,62,2.6828212894850716
tablets_printing_image,79,2,2.5316455696202533
telephony,4199,126,3.000714455822815
toys,3886,78,2.007205352547607
watches_gifts,5624,110,1.9559032716927456
