product_category,total_items_sold,unique_orders,unique_sellers,unique_products,total_sales_value,total_freight_value,avg_item_price,avg_review_score,review_count,late_delivery_rate,review_risk_rate,avg_delivery_delay_days,avg_actual_delivery_days,has_reviews,has_delivery_data,quality_issue_rate,quality_issues,quality_eval_orders,has_quality_data
agro_industry_and_commerce,212,182,34,74,72530.47,5843.6,342.12485849056606,4.087378640776699,206,0.0339805825242718,0.1359223300970873,-11.46116504854369,11.223300970873789,True,True,,,,False
air_conditioning,297,253,52,124,55024.96,6749.23,185.2692255892256,4.052816901408451,284,0.0352112676056338,0.1549295774647887,-14.27112676056338,11.73943661971831,True,True,,,,False
art,209,202,36,55,24202.64,4045.17,115.8021052631579,4.082051282051282,195,0.0615384615384615,0.1435897435897435,-12.78974358974359,10.77948717948718,True,True,,,,False
arts_and_craftmanship,24,23,13,19,1814.01,370.13,75.58375,4.125,24,0.0416666666666666,0.125,-6.791666666666667,5.291666666666667,True,True,,,,False
audio,364,350,36,58,50688.5,5710.44,139.25412087912088,3.8379888268156415,358,0.1145251396648044,0.2150837988826815,-10.100558659217876,12.874301675977652,True,True,,,,False
auto,4235,3897,383,1900,592720.11,92664.21,139.9575230224321,4.1149341142020495,4098,0.0697901415324548,0.1390922401171303,-11.461200585651538,11.702781844802342,True,True,2.89966641005902,113.0,3897.0,True
baby,3065,2885,244,919,411764.89,68353.11,134.34417292006526,4.077728962487327,2959,0.0753632984116255,0.1493747887799932,-11.733355863467388,11.964852990875295,True,True,2.634315424610052,76.0,2885.0,True
bed_bath_table,11115,9417,196,3029,1036988.68,204693.04,93.29632748538012,3.9232757824762254,10831,0.0688763733727264,0.1821623118825593,-11.68580925122334,12.290554888745268,True,True,5.203355633428905,490.0,9417.0,True
books_general_interest,553,512,54,216,46856.88,9195.52,84.73215189873417,4.511278195488722,532,0.0601503759398496,0.0676691729323308,-12.172932330827068,11.142857142857142,True,True,0.390625,2.0,512.0,True
books_imported,60,53,7,31,4639.85,769.85,77.33083333333335,4.508771929824562,57,0.0350877192982456,0.087719298245614,-11.192982456140353,7.666666666666667,True,True,,,,False
books_technical,267,260,26,123,19096.06,4283.06,71.52082397003745,4.3893129770992365,262,0.0801526717557251,0.1030534351145038,-11.255725190839694,10.236641221374043,True,True,,,,False
