state,seller_count,total_sales_value,avg_review_score,late_delivery_rate,review_risk_flagged_share,avg_seller_order_risk_rate,role
AC,1,267.0,1.0,0.0,1.0,1.0,seller
AM,1,1177.0,2.333333333333333,0.3333333333333333,0.0,0.6666666666666666,seller
BA,19,285561.56,3.937518817271011,0.040741212546588336,0.10526315789473684,0.1980983051398331,seller
CE,13,20240.64,3.4732905982905984,0.12006280756280756,0.3076923076923077,0.34106171606171604,seller
DF,30,97749.48,4.0320902130797185,0.0925057267542275,0.03333333333333333,0.1902806001400454,seller
ES,23,47689.60999999999,4.262581824487585,0.041211180124223604,0.043478260869565216,0.11373329568981742,seller
GO,40,66399.21,4.112918708862346,0.0664944350549221,0.05,0.12952722947494158,seller
MA,1,36408.95,3.989690721649485,0.1887755102040816,0.0,0.1658163265306122,seller
MG,244,1011564.74,4.052818810574149,0.046908597628167036,0.06147540983606557,0.15827863876743942,seller
MS,5,8551.69,4.28780701754386,0.03529411764705882,0.0,0.07529411764705882,seller
MT,4,17070.72,4.223148148148148,0.0296296296296296,0.0,0.06666666666666662,seller
PA,1,1238.0,4.5,0.0,0.0,0.0,seller
PB,6,17095.0,4.263888888888888,0.010416666666666666,0.0,0.125,seller
PE,9,91493.84999999999,4.123838640752587,0.0687479514913143,0.0,0.15890106288336375,seller
PI,1,2522.0,4.083333333333333,0.0,0.0,0.1666666666666666,seller
PR,349,1261887.21,4.042984921519743,0.04257587518970614,0.06303724928366762,0.16290224095619654,seller
RJ,171,843984.22,3.9765095688749255,0.06640080611785218,0.05847953216374269,0.17916258183513034,seller
RN,5,9992.6,4.475714285714285,0.05714285714285714,0.0,0.0857142857142857,seller
RO,2,4762.2,3.854166666666667,0.0,0.0,0.29166666666666663,seller
RS,129,378559.54,4.057603111257528,0.04580350922444489,0.08527131782945736,0.16857965455618765,seller
SC,190,632426.07,4.076983503704202,0.04104132850049238,0.06842105263157895,0.15483604702085044,seller
SE,2,1606.2,3.85,0.0,0.0,0.2,seller
SP,1849,8753396.21,3.9671857826633037,0.07086057019811828,0.06814494321254733,0.18272293780694604,seller
