product_category,total_items_sold,unique_orders,unique_sellers,unique_products,total_sales_value,total_freight_value,avg_item_price,avg_review_score,review_count,late_delivery_rate,review_risk_rate,avg_delivery_delay_days,avg_actual_delivery_days,has_reviews,has_delivery_data
agro_industry_and_commerce,212,182,34,74,72530.47,5843.6,342.12485849056606,4.087378640776699,206,0.03398058252427184,0.13592233009708737,-11.46116504854369,11.223300970873787,True,True
air_conditioning,297,253,52,124,55024.96,6749.23,185.26922558922558,4.052816901408451,284,0.035211267605633804,0.15492957746478872,-14.27112676056338,11.73943661971831,True,True
art,209,202,36,55,24202.64,4045.17,115.8021052631579,4.082051282051282,195,0.06153846153846154,0.14358974358974358,-12.78974358974359,10.77948717948718,True,True
arts_and_craftmanship,24,23,13,19,1814.01,370.13,75.58375,4.125,24,0.041666666666666664,0.125,-6.791666666666667,5.291666666666667,True,True
audio,364,350,36,58,50688.5,5710.44,139.25412087912088,3.8379888268156424,358,0.11452513966480447,0.21508379888268156,-10.100558659217876,12.874301675977653,True,True
auto,4235,3897,383,1900,592720.11,92664.21,139.9575230224321,4.1149341142020495,4098,0.06979014153245486,0.1390922401171303,-11.461200585651538,11.702781844802342,True,True
baby,3065,2885,244,919,411764.89,68353.11,134.34417292006526,4.077728962487327,2959,0.07536329841162555,0.14937478877999325,-11.733355863467388,11.964852990875295,True,True
bed_bath_table,11115,9417,196,3029,1036988.68,204693.04,93.29632748538012,3.9232757824762254,10831,0.06887637337272644,0.18216231188255932,-11.68580925122334,12.290554888745268,True,True
books_general_interest,553,512,54,216,46856.88,9195.52,84.73215189873417,4.511278195488722,532,0.06015037593984962,0.06766917293233082,-12.172932330827068,11.142857142857142,True,True
books_imported,60,53,7,31,4639.85,769.85,77.33083333333335,4.508771929824562,57,0.03508771929824561,0.08771929824561403,-11.192982456140351,7.666666666666667,True,True
books_technical,267,260,26,123,19096.06,4283.06,71.52082397003745,4.3893129770992365,262,0.08015267175572519,0.10305343511450382,-11.255725190839694,10.236641221374045,True,True
cds_dvds_musicals,14,12,1,1,730.0,224.98999999999998,52.142857142857146,4.642857142857143,14,0.0,0.0,-16.857142857142858,10.357142857142858,True,True
christmas_supplies,153,128,17,65,8800.82,3229.3,57.52169934640523,4.06993006993007,143,0.06293706293706294,0.13286713286713286,-12.811188811188812,14.125874125874127,True,True
cine_photo,72,65,14,28,6933.46,1256.2,96.29805555555555,4.285714285714286,70,0.05714285714285714,0.12857142857142856,-11.32857142857143,10.128571428571428,True,True
computers,203,181,9,30,222963.13,9836.3,1098.3405418719212,4.219387755102041,196,0.04081632653061224,0.11734693877551021,-11.78061224489796,12.862244897959183,True,True
computers_accessories,7827,6689,287,1639,911954.32,147318.08,116.51390315574294,3.9871171289601683,7607,0.06362560799263836,0.17023793874063362,-12.457341921914027,12.741028000525832,True,True
consoles_games,1137,1062,82,317,157465.22,19828.02,138.49183817062445,4.139017608897127,1079,0.05560704355885079,0.12140871177015755,-11.732159406858202,13.114921223354958,True,True
construction_tools_construction,929,748,128,400,144677.59,20650.41,155.7347578040904,4.091108671789242,911,0.06147091108671789,0.14050493962678376,-11.679473106476399,10.220636663007683,True,True
construction_tools_lights,304,244,37,78,41080.0,7583.8,135.1315789473684,4.082191780821918,292,0.07534246575342465,0.136986301369863,-11.226027397260275,9.113013698630137,True,True
construction_tools_safety,194,167,35,91,40544.52,3919.1,208.9923711340206,3.967032967032967,182,0.027472527472527472,0.17582417582417584,-12.307692307692308,11.395604395604396,True,True
cool_stuff,3796,3632,267,789,635290.85,84039.1,167.357968914647,4.195445920303605,3689,0.05746814854974248,0.11846028734074275,-12.515315803740851,11.865004066142586,True,True
costruction_tools_garden,238,194,33,88,25715.89,5311.4,108.04995798319328,4.116379310344827,232,0.05603448275862069,0.15517241379310345,-13.543103448275861,11.431034482758621,True,True
costruction_tools_tools,103,97,24,39,15903.95,2030.22,154.40728155339806,4.444444444444445,99,0.050505050505050504,0.08080808080808081,-12.474747474747474,11.282828282828282,True,True
diapers_and_hygiene,39,27,8,12,1567.59,573.68,40.19461538461538,3.3783783783783785,37,0.0,0.21621621621621623,-11.35135135135135,10.243243243243244,True,True
drinks,379,297,36,81,22428.7,5741.25,59.178627968337736,4.119113573407202,361,0.0443213296398892,0.12465373961218837,-11.529085872576177,10.01939058171745,True,True
